Type of Shipment,Shipment_Category,Price
Forward charges,fwd_a_fixed,29.5
Forward charges,fwd_a_additional,23.6
Forward charges,fwd_b_fixed,33
Forward charges,fwd_b_additional,28.3
Forward charges,fwd_c_fixed,40.1
Forward charges,fwd_c_additional,38.9
Forward charges,fwd_d_fixed,45.4
Forward charges,fwd_d_additional,44.8
Forward charges,fwd_e_fixed,56.6
Forward charges,fwd_e_additional,55.5
Forward and RTO charges,rto_a_fixed,13.6
Forward and RTO charges,rto_a_additional,23.6
Forward and RTO charges,rto_b_fixed,20.5
Forward and RTO charges,rto_b_additional,28.3
Forward and RTO charges,rto_c_fixed,31.9
Forward and RTO charges,rto_c_additional,38.9
Forward and RTO charges,rto_d_fixed,41.3
Forward and RTO charges,rto_d_additional,44.8
Forward and RTO charges,rto_e_fixed,50.7
Forward and RTO charges,rto_e_additional,55.5